Text,Char_counter
"Why is this bike so damn expensive? We can't tell you because not everyone can ride it! If you just can't afford it, you better buy a frame that has more wheels than you need to. Why? Because you can't afford it!",212
Why not have a cool bike and tell people to keep it real?,57
"It's not like pinkbike is a gooch. They are a bunch of weirdos who feel the need to make money off of their crappy bikes, forcing other people to buy them for what they are worth.",179
@freesty10: I would hope you would not be so harsh on the people of the state of Florida. I also hope that you understand that you are the son of a Cocoa cave man and that it is not your fault that people are flooding our local trails.,235
"When I was a kid, I was told by my parents that I had to be free to ride bikes.",79
"I'd love to see more pinkbike articles. I seem to have a hard time finding stuff that covers different topics, but all the questions are about what's going on in the world, and they are not about race results.",209
"Have you guys heard of the the new Capra, the first one to be developed into a full face F-70?",94
"Those were big hits. I’d say the best part of this video is the music that Paul is wearing, and he is just pulling off those jumps and jumps. Stuff like that makes me want to shred.",181
The MTB industry is more dangerous than the military.,53
"""You're not interested in me in the slightest. I'm interested in you. I want you to know you're not alone."" @natekidd: I'm more of a sandy guy than you are.",156
"I think it's time to stop blaming bikers for the problems. The problem is the bikers are the ones who are making life miserable for themselves. Bike commuting is getting downvoted, and the entire world needs to call them out.",225
I’ve been riding in Peru for about a year and have actually found that I’m a bit of a f*cking douche.,101
"PB commenters, please repost the video with all the edits, all the extra water, all the extra dust and all the dust, just for the hell of it.P",142
"I'm not trying to be negative, but being an angry person is the most important thing for me.",92
"If you're going to be a slayer, you might as well go to the best mtb website out there.",87
"It’s not about frame size, it’s about girth.",44
"I thought a new bike was called the Grim Donut, and I'm guessing it was never really made. I'd like to see an actual review of the Donut to see if there are any flaws with it. I also like the fact that the geometry has some really good features.",245
"@mikelevy: Yeah it's not a bike park, it's a dirt road with a few trail features, a few trails to ride, some trails to ride and a few trails to ride and there's some trail building and generally a lot of technical trails to ride.",229
"If you can't do it on a bike, you can't do it on a bike.",56
"Bro, I'm going to call the cops and get you fired.",50
I thought we were going to see the Grim Donut. I'm going to assume that's likely a joke. We'll see if the Grim Donut gets a snooty finish.,138
Yep. I've had a few crashes with my head but never had an issue with anything.,78
The free-fall rate was the main reason I got into mountain biking. But it wasn't the only reason.,97
Send your bike to the dentist for a checkup.,44
If you have a lot of stamina (not just a minimum of 5 hours of that) you can sprint. There’s a whole lot of truth to that.,122
I have a 7.5 speed drivetrain in the box and I can fit the 11spd cassette to it.,80
I am one of the few who does not hate pinkbike. I stay home from work and am not trying to be a dick about it. I like to think they are the same as everyone else.,162
"I think the more people that ride the trails the better they're going to be, but I've learned for the last 10 years that: 1. You don't have to be a huge fan of a trail to enjoy it. 2. It's a trail that's designed for you. 3. It's a trail that you can ride.",256
"No wheels, no brakes, no tire pressure, no wind, no dampers, no hand brakes, no hand brakes, no gears, no brakes, no gears, no brakes. Good times, good times.",158
"No offense, but bikes are a bunch of little things, and not a big deal to me.",77
"The best way to race an XC race? No problem, no problem, just ride.",67
The second I put a few pins in I could see the chainline on the chainring feathering and it was even more of a mess. One of the best looking chainrings I have ever seen.,169
I remember when I was young and I couldn't even afford a foot-mounted headset.,78
So you're who thinks you're better than everyone else. It's a great thing.,74
The best part was that I was riding my bike and all hell broke loose.,69
I think everyone needs to stop being such a dickhead and look at ways to improve their riding skills.,101
"I was raised in the same town as you and your father, he was a dentist and nurse, he also owned a truck repair shop, he bought a horse for a friend, he sold his workhorse, he retired from the military a few years ago and got a job with the local bike shop.",256
"The new high-end 2020 model is a complete shitshow with an e-bikes fork on the front and a set of tires on the back. It is beyond full-on mountain biking gear, and I hate spending money for it.",193
Don't get hung up on all the people who buy bikes and don't even know what they are doing.,90
The world isn't just a hellhole. It's a hellhole. The world is full of shit. You have to live in it.,100
"My wife is a professional mountain biker. She is the only female person I know. I am too, but she is the one with a PhD in biology. She had no problem separating the external and internal parts of her brain.",207
As an American you just don't need to worry about the chainstay.,64
"I remember when the Grim Donut was told to go to the toilet. I was in college and I was terrified of a Grim Donut. I didn't know it was a joke, but it was a beast and it was a scary thing to look at.",199
Still don't like this? I'm a total d*ck and this is the worst. I'm a huge fan of the bike and it's awesome.,107
"The world is so full of stuff to do, we need to get rid of it.",62
20mm fork that will be perfect for XC shoes.,44
What are you talking about? Your brain is a bunch of bullshit. There is no good way to say it.,94
What's the deal with the giant pink bike? The big pink bike has an g-spot? Is this a killer feature?,100
You've a flawed and false notion that the meta frame is just a specialized frame for the sake of its frame. I have a frame with a generic top tube and the meta frame is a frame with a full sag.,193
I just got my Commencal XC bike. I am a top end rider and I have been in the top end for over a decade now.,107
I would never use a 140mm fork if it didn't have a removable top tube (not that I disagree with that as long as you're on a road bike).,135
@mikekazimer: You're the only one with a problem with the Nexus 5. You will eventually have the same problems with the Nexus 6.,127
"My wife and I are on our second summer hike, this time lined with climbing, on the steep side of steep in the east. She and I are on a long long day hike down the hill.",168
"I'm not a fan of the new bike, but I will agree, the new bike is fantastic.",75
This guy is so dumb I thought he was a dentist.,47
I’ve used this as a trainer for my daughter. She is 6 months old and is on a bike trainer. She loves it and is constantly on the bike.,134
"I would like to see a longer dropper post, maybe a bit longer reach and a few big stem pins either 4 or 5 at the back.",118
I'd be interested to see MTBR standings. The most reliable WC lines in the world. Gwin wins by 10 strokes a time.,113
"I was easily a top 20 rider, and I would ride any bike I wanted.",64
My wife and I have been going through this same thing. We had a crash in the garage. No one was injured.,104
@brianpark: Thanks. I was just thinking about this as well. I've got a pair of flip flops and I love them. I’ve been riding them for about six years.,149
You have a big ego that needs to be thoroughly scrutinized.,59
Someone should get out and put an end to the Nukeproof.,55
"I've been using a long, steeper, coil, coil, coil, coil, coil, coil and coil with no problems. As long as you keep the compression constant you can really get the best out of the coil. This is what I'm trying to say.",216
"Just because I have a good, steady, positive attitude and have a low self-esteem doesn't mean I'm not going to engage in a lot of risky people's behaviors. I'm not going to ride my bike to make a living.",203
@brianpark: Go buy some bikes.,30
I think the reason that the techies are so f*cking angry with me is that I can see where they are coming from. It's not about the techies. It's about me. I just started to like this style of riding and the wide wheelbase and lack of sag.,237
I was just referring to it being a difference in the amount of energy your body exerts. It is like saying a person is stronger with a beer when he/she is in a bar. A guy who can make a difference in the gym or is stronger with a beer or three.,243
"$300 for the heck of it, but I'm going crazy for a $300 cassette to get it. I got the privateer in a month and you get a custom set up with a new set up vibe.",158
"If I could send a bazooka on any bike, I would. I wouldn't want to go out on the trails without it.",99
"I've got a Giro Yeti, which is one of the best bikes I have owned.",66
"Damn, I’m sick of seeing all the fricking new stuff on the daily. The last two years have been amazing. The new stuff is rad, but I’d buy a house to afford it.",159
@jeffa078: It’s pretty obvious you’re a conspiracy theorist. Haha. I have a bad case of OCD and I hate myself for an hour a day.,128
"I've got my pinkbike account and there's a guy called James Whalley at the top of a website called djb. The guy is really great. He starts to ride his bike from the top of the website and he says ""I'm going to take this one day.""",229
I’ll say this in a different way: it’s a bummer that we’re still seeing the comments section here.,98
"I have to say that I had a few friends who had similar experiences with the bike park. I had friends who were in the 'hoods of the park, and the bike park was so overbuilt that the trails were literally empty.",209
One of the reasons i started to ride is because i thought it was cool. So i started to ride and learnt how to ride. It's such a pain to ride and i live with that. But i are an amateur and can't just get into the sport.,218
You'd be a better rider if you lived in a different part of the world.,70
The new seatpost for the DHR6 is a great idea for the non-geo-yoga-yoga-yourname thingy. I'm a big fan of the DHR6.,115
The Pinkbike community on the east coast has been so supportive and I'm excited to be part of it. I'm a part of it because I'm tired of having to deal with the constant influx of freeriders who are constantly asking for rides to get money.,239
She's a great rider and a great rider. And I'm sure she runs a dyno too and can also run a kashima for a bike to be honest.,123
"I have a couple of plans for the future, but first, I'm gonna buy a new bike every year and keep them around for a while. Then I'll buy a pair of TLD's and a pair of TLD's on my next bike. I want to enjoy the trails I ride.",223
Just because I was born in the US doesn't mean that I can’t produce my own bikes.,81
"@WAKIdesigns: I know, I know, I know. I am not going to be the only one that states that you are wrong. But I do believe it’s wrong.",132
"I run a steep DH bike as a budget commuter, it's got great brakes and a good chainring and fork. I like that it's lighter and makes the bike more mobile when pedaling.",167
"In the past few years we've seen the release of """"tough guys"""" like Jeffsy, Gwin, etc. The only """"tough guys"""" that have gotten better in recent years have been the likes of Orbea, Sarah, and Crankworx.",202
"With my bike, I can't breathe. I try to hit it with my hip and occasionally my back. It's like riding a foreign land. I have a sore back and a sore back and back again. I don't want to pay for a new bike.",204
"You know, if you are on the right side of reality, the only thing that matters is what you believe.",99
This is an awesome set up. I absolutely love the feel of the stem on the bike. I had to remove it for a few days. Haha.,119
"The longer I ride the more I realize that this was my first MTB experience. I was as scared as all the others before me, and I can relate to that.",146
"I dunno, I don't need the new Cannondale, but I'm sure they will be sold for big money.",87
"I have watched this for the last several months and have no idea how many people have died from her injuries. She was just a great ambassador and a champion. Like I said, I don't know how many people have died.",210
What are we talking about? How did the earth change so drastically during the expansion of our human population? The arrival of the dinosaurs has given rise to the modern human population. The government is destroying the natural environment.,242
Ride more! - Ride more! - Ride more! - Ride more! - Ride more! - Ride more! - Ride more! - Ride more! - Ride more! - Ride more! - Ride more! - Ride more! - Ride more,165
"I'm a little disappointed that Tacos are not still available as a big part of the diet, it seems like a small company like Walmart or a small brand like Yeti is very much the same.",180
It's not about the cost. It's about the opportunity cost. I'll definitely be dropping $30k on a bike that's only $1k.,117
There are landmines to be had. I'm running one at the moment for trail building and maintenance and then an enduro bike for fitness.,132
The pinkbike community in general is a bunch of bullshit. They are people who are offended that pinkbike doesn't cover their comments.,134
"Pinkbike's press release announcing that YT has been acquired by Pinkbike for $2.8 billion. I mean, that’s $100 billion. I don’t know, it’s pretty crazy.",153
Are bike shops closing? No more stop signs.,43
@WAKIdesigns: You managed to get all of the comments over to the wrong place. You have to work your way up to the top. The best way to create a better comment is by posting it on PB.,182
"Because I'm a professional cyclist, I don't want to get pushed around by a bunch of dudes. These dudes are not professional cyclists and if they want to get pushed around, they have to ride slower. ",198
I’ve been on the same bike for 6 months now and it’s gone like a rock.,70
I don't see a good reason why I (and most people I know) wouldn't be better off with a different bike.,70
"@Maxwellrider76: I thought you were saying you were right. That's a lot of hate on a bike, but in the end, I'm on the same boat as you, and like you said, I'm a complete idiot. I'll never buy a bike.",199
Pinkbike commenters are having a hard time getting their heads out of their asses. In our modern times there are more and more people on the internet who think that bike companies are somehow out of touch with the tech community.,229
Pinkbike commenters come to me and say they know what they're talking about. The problem with that is there are absolutely few people on this site with the same experiences and knowledge that I have.,199
"Pinkbike commenters might be surprised to hear that the best riding is not on the trails, but on a bike park, or in a parking lot. The best riding is on your bike!",163
I'm not interested in making changes. I'm interested in making bikes better. I'm not interested in making bikes look better. I'm interested in making bikes feel better.,168
I am a mountain biker. I love to ride. I have a bike and a gear.,64
"You’re right, like it or not. I don’t think the new helmet should be a thing. I’ve had a few helmet replacements over the past few years and the ones that’re more comfortable are the ones that don’t have the stanchions.",219
I actually like the whole idea behind the new helmet and the helmet looks pretty good. I think it's an interesting concept. I'm going to think about it for years.,162
"I am not bashing you for being more sensitive to my opinions, but I still find it outrageous that you are calling for my removal from the sport, as I have no idea who you are or what you are trying to accomplish.",212
"I don't know what the best rider is, but I do know that they are faster. I think that is kinda the point of the sport.",118
"The trail is already a long, flat section, and I really like to be able to jump and roll around, but I also find it often very difficult to climb and reach the summit without pedaling.",184
"I'm not looking to sell the Sight to a super enduro bike company, but I like the simplicity of the rear triangle and the playful design. When I saw the Sight on the thrift stores I was hoping that the telescopic crown would have some sort of jibbing-like feel",259
"Ride your bikes as they do your ass off on the trails. The ability to rotate between bars, grips, grips and grips is one of the most important things to a rider.",161
"I've been very happy with my Norco Scout. I've seen it come to market in the US, but the US is still a bit of a wild country with a lot of trails.",146
"Pinkbike commenters arent here for bikes, but like to get some Grim Donut jokes.",80
You all think the same. Have you ever tried to get a Rift Zone to work with Whistler or Whistler? It's a nice little bike for those who prefer to ride in the mountains. Some people are just way over-biked.,205
The best part is when you head out to ride you don't have to look back.,71
@mikelevy: I really hate this thing called digital media. It's incompetent and it's ruining the economy.,104
"The best way to buy is to go to walmart and buy a ""standard"" bike.",66
I have a hard time holding my breath when I'm using the air suspension on a bike.,81
"Shit, I’d be interested to see some data to back that up.",57
"If you're gonna talk shit about a new bike, I'm gonna be your guy. ",67
"Ah you could definitely be wrong. My own personal opinion is that there is no such thing as a ""poop"" in the middle of a bikepacking trip because it is literally ""one of the best"" type of exercise.",196
"I had a couple of problems with my GX. First I was about to buy a GX, when I couldn't find a frame, the frame was totally gone. I ended up selling it back to the seller.",169
"I'm not the type to be accepting of others' opinions, but I'm the type to be willing to do whatever it takes.",109
"I have a more upright bike and a lot more climbing. I think the new 26’s are way better, and they are cheaper. I really like the new geo of the 26’s and riding them is easier.",175
"I went to the shop, and they had a service person on a phone call. They asked me if I wanted to borrow a cable clamp from them. I said yes, and the service was quick.",166
"I've been on the same bike for several years now and I have to say, this is the first time I've ever seen the bike be wrong about something.",140
"I have some proven, proven, proven brakes that I'm really happy with, but they are on a bike for a reason. I've installed them on my new bike and it is well within my reach. Anyone else have any examples of what you've found working well?",238
I ride my bike on my road bike. I ride it on my XC bike. I do an occasional jump over sharp trails.,99
"hahaha, it's stupid to suggest that a bike with a weird aspect ratio is somehow better than a bike with a way too narrow aspect ratio.",134
"I ended up switching to a 160 with a much bigger rear end and a bit more suspension tech. I'm not a big fan of the idea of a bike with a dropper post, so it made sense to move the rear end to the middle of the trail to get some movement out of the weight.",255
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
